,googleNewsFlair,googleNewsPolarity,googleNewsSubjectivity,googleNewsPositive,googleNewsNegative,googleNewsNeutral,googleNewsCompound
2020-01-01,-0.91245,0.09771864311395903,0.3822443356346417,0.09625,0.039000000000000014,0.865,0.97835
2020-01-02,-0.3904625000000001,0.1120380158149111,0.3878269022864232,0.094,0.038,0.867625,0.921575
2020-01-03,-0.7538,0.0995660759090554,0.4312530756212625,0.087375,0.04125,0.8714999999999999,0.8823874999999999
2020-01-04,-0.3105125,0.09047130253124792,0.4627440777482098,0.109,0.046375,0.8443750000000001,0.640225
2020-01-05,-0.510025,0.12265141797630733,0.43788009812174394,0.091375,0.03675,0.8714999999999999,0.7744
2020-01-06,-0.9866875,0.05689422103585803,0.3971304829073344,0.09175,0.063875,0.844375,0.6572125
2020-01-07,-0.9274875,0.14453864879336892,0.4404074179009744,0.09725,0.030250000000000006,0.8724999999999999,0.7555624999999998
2020-01-08,-0.7754624999999999,0.07365565060717713,0.3808672668391303,0.102875,0.06075,0.836625,0.682875
2020-01-09,-0.2199625000000001,0.15078417669093244,0.4335109797786265,0.111125,0.040250000000000015,0.84875,0.6433875
2020-01-10,-0.7632125,0.19830771104454276,0.4834130411356599,0.12375,0.031875,0.8444999999999999,0.855375
2020-01-11,-0.7143999999999999,0.07514987839599205,0.39009006859962736,0.08249999999999999,0.059125,0.8586249999999999,0.433025
2020-01-12,-0.013174999999999992,0.1122517323178994,0.3713133606216893,0.11712499999999998,0.02075,0.8621249999999999,0.9790000000000001
2020-01-13,-0.25493750000000004,0.1060255061837854,0.39678977043222174,0.08875,0.037000000000000005,0.8740000000000001,0.7156875
2020-01-14,-0.7763,0.08942138085546356,0.3904823652848531,0.0935,0.054750000000000014,0.8516249999999999,0.6909
2020-01-15,-0.277225,0.09560569563694694,0.4161713861811704,0.0955,0.06175,0.842625,0.4722624999999999
2020-01-16,-0.98635,0.13789175666074538,0.4531271592681515,0.11312500000000003,0.04725,0.839875,0.26425
2020-01-17,-0.7012125,0.07161879351548067,0.37359732830668624,0.08850000000000001,0.026,0.8856249999999999,0.5153875
2020-01-18,-0.7251125,0.0896415214505442,0.413846306122896,0.10275,0.03825,0.8587499999999999,0.899975
2020-01-19,-0.26251250000000004,0.1465038515365371,0.4374146908038157,0.11774999999999998,0.019875000000000004,0.862375,0.9637
2020-01-20,-0.7751875000000001,0.1521110484092627,0.4818033886574299,0.0955,0.037125000000000005,0.86725,0.594025
2020-01-21,-0.2800125,0.13690596279202893,0.4369318216187609,0.116,0.04150000000000001,0.84225,0.7344249999999999
2020-01-22,-0.2475375,0.1020960711621548,0.447443445786141,0.10025,0.037124999999999984,0.8625,0.790125
2020-01-23,-0.4412875,0.08642490261894581,0.39777989842184297,0.08199999999999999,0.032750000000000015,0.88525,0.6683749999999999
2020-01-24,-0.684125,0.07499188168363967,0.35971722208196105,0.08062499999999999,0.05075,0.86875,0.7225625
2020-01-25,-0.747525,0.08292400029882811,0.40125458717220597,0.08412499999999999,0.043375,0.8724999999999999,0.5045124999999999
2020-01-26,0.025687499999999988,0.10273353729088558,0.3703482748344085,0.109625,0.041625,0.8485,0.9176375
2020-01-27,-0.658075,0.1814328577709914,0.4447294758812616,0.126375,0.037375,0.836125,0.41025
2020-01-28,-0.23280000000000006,0.22475816858347344,0.5055865139067663,0.15500000000000005,0.020875,0.824375,0.9094875
2020-01-29,-0.49965,0.16119538379489173,0.43643928449940017,0.115375,0.04575,0.838875,0.8856249999999999
2020-01-30,-0.93145,0.10371091158143432,0.4660503781565154,0.095375,0.0505,0.854125,0.29361250000000005
2020-01-31,-0.2007875,0.1010760332912953,0.3409338448978237,0.110625,0.045625000000000006,0.8440000000000001,0.4699625
2020-02-01,-0.6695499999999999,0.07342283248271503,0.31938156404489554,0.061374999999999985,0.047875,0.890875,0.34053750000000005
2020-02-02,-0.6607124999999999,0.07217372272928912,0.3051150878514094,0.089625,0.043875,0.86675,0.46225
2020-02-03,-0.5116,0.10582441119925362,0.3971109716166548,0.1025,0.043125,0.854375,0.8220625
2020-02-04,-0.4577,0.11783910277721303,0.38125747324533976,0.089625,0.028375,0.88175,0.723675
2020-02-05,-0.545275,0.09119884808918753,0.3879779477957245,0.0805,0.035125,0.88425,0.721175
2020-02-06,-0.2547125,0.13034753495975926,0.4156340259977824,0.106125,0.030375000000000006,0.8635000000000002,0.511325
2020-02-07,0.2912625,0.1310678281338301,0.4242389486942841,0.110125,0.027625,0.8623749999999999,0.916925
2020-02-08,-0.2712375,0.11249233563088384,0.4525109836831464,0.09525,0.0495,0.85525,0.5153
2020-02-09,0.02841250000000004,0.11652873035199635,0.43197532432555297,0.129875,0.03925,0.8310000000000001,0.728075
2020-02-10,-0.6959875000000001,0.07475921768369624,0.3846576614544756,0.0985,0.038125,0.8635,0.7512000000000001
2020-02-11,-0.8693125,0.100717033384083,0.4048022889385697,0.09125,0.046125000000000006,0.8626250000000001,0.5750125
2020-02-12,-0.540225,0.08688401701819459,0.3882275690160569,0.09675,0.030250000000000006,0.8731249999999999,0.9190875
2020-02-13,-0.803875,0.05837241147155624,0.383025989571128,0.076625,0.055625000000000015,0.8674999999999999,0.5426375
2020-02-14,-0.13255,0.09258675572538404,0.4120183805362072,0.093375,0.028,0.8787499999999999,0.7042624999999999
2020-02-15,-0.002250000000000016,0.102523162445218,0.4608926329093822,0.08674999999999998,0.044375,0.8688750000000001,0.6455375
2020-02-16,-0.7159875,0.15823121504652926,0.4748525627554814,0.1125,0.03425,0.8535,0.7187125
